material,formula,n_atoms,energy_eV,energy_per_atom_eV,K_GPa,G_GPa,E_GPa,poisson_ratio,KG_ratio,ductile_brittle,time_seconds
mp-6326,Li12 Al12 Si12 O48,84,-605.8924,-7.213,171.33,84.61,217.95,0.288,2.02,Ductile,1.25
mp-6327,Li3 Al3 Si3 O12,21,-151.611,-7.2196,141.1,75.72,192.69,0.2724,1.86,Ductile,0.8
mp-632815,Li20 Ge2 P4 O24,50,-297.7216,-5.9544,113.19,73.95,182.18,0.2318,1.53,Brittle,2.65
mp-6332,Li4 Ti2 Si2 O10,18,-132.5146,-7.3619,149.68,74.53,191.76,0.2865,2.01,Ductile,0.82
mp-6340,Li2 Al2 Si4 O12,20,-147.8225,-7.3911,194.14,123.74,306.17,0.2372,1.57,Brittle,0.67
mp-6413,Li2 Dy2 P8 O24,36,-263.787,-7.3274,154.46,93.65,233.71,0.2478,1.65,Brittle,0.58
mp-6425,Li6 In4 P6 O24,40,-260.235,-6.5059,161.77,91.65,231.28,0.2617,1.77,Ductile,1.27
mp-6442,Li2 Al2 Si8 O20,32,-243.4476,-7.6077,150.62,89.77,224.67,0.2514,1.68,Brittle,0.78
mp-6478,Li2 Ta2 Ge2 O10,16,-123.2941,-7.7059,197.87,76.98,204.43,0.3278,2.57,Ductile,1.0
mp-6499,Ba4 Li4 B4 O12,24,-164.1686,-6.8404,89.8,52.78,132.4,0.2543,1.7,Brittle,0.79
