material,formula,n_atoms,energy_eV,energy_per_atom_eV,K_GPa,G_GPa,E_GPa,poisson_ratio,KG_ratio,ductile_brittle,time_seconds
mp-697754,Li8 V4 P16 O48,76,-537.9247,-7.078,151.81,84.31,213.42,0.2657,1.8,Ductile,5.19
mp-697767,Li4 Mo4 P8 O28,44,-313.365,-7.1219,156.58,76.73,197.87,0.2894,2.04,Ductile,3.75
mp-7020,Li4 Y4 O8,16,-119.6137,-7.4759,127.82,59.27,154.02,0.2992,2.16,Ductile,0.67
mp-704251,Li12 Fe12 P12 O48,84,-569.896,-6.7845,126.66,64.33,165.05,0.2828,1.97,Ductile,3.47
mp-705001,Li4 Cr4 P8 O28,44,-315.3813,-7.1678,138.68,81.55,204.56,0.2542,1.7,Brittle,1.24
mp-705007,Li4 Mo4 P16 O48,72,-512.374,-7.1163,140.99,80.27,202.41,0.2607,1.76,Ductile,2.45
mp-705089,Li4 Fe12 P12 O44,72,-504.353,-7.0049,134.48,70.48,180.0,0.2769,1.91,Ductile,2.08
mp-705312,Li12 Fe12 P12 O48,84,-571.443,-6.8029,140.57,71.39,183.17,0.2828,1.97,Ductile,1.72
mp-705401,Li8 Ni16 P16 O60,100,-631.3266,-6.3133,129.2,72.13,182.43,0.2647,1.79,Ductile,6.96
mp-705402,Li14 Mn9 P16 O56,95,-668.4878,-7.0367,127.56,72.94,183.78,0.2599,1.75,Brittle,4.95
mp-705432,Li12 Ni10 P16 O56,94,-604.5709,-6.4316,143.87,81.47,205.59,0.2618,1.77,Ductile,10.1
mp-705448,Li16 Ni16 P16 O64,112,-697.4652,-6.2274,117.36,61.15,156.3,0.278,1.92,Ductile,2.18
mp-7117,Li4 Al4 Se8,16,-67.8057,-4.2379,49.62,15.95,43.22,0.3548,3.11,Ductile,0.56
mp-7137,Li4 Tb4 O8,16,-112.51,-7.0319,128.81,66.84,170.96,0.2788,1.93,Ductile,1.3
mp-720245,Cs2 K2 Na2 Li26 Si8 O32,72,-420.069,-5.8343,99.26,62.63,155.24,0.2393,1.58,Brittle,2.4
mp-7205,Li4 In4 Si4 O16,28,-182.7694,-6.5275,151.5,83.67,211.98,0.2668,1.81,Ductile,1.0
mp-721238,Li20 Sn2 P4 O24,50,-292.9278,-5.8586,102.8,64.14,159.3,0.2417,1.6,Brittle,6.14
mp-721249,Li20 Ge2 P4 O24,50,-297.2879,-5.9458,109.09,69.16,171.29,0.2383,1.58,Brittle,9.43
mp-721255,Li20 Si2 P4 O24,50,-305.7312,-6.1146,113.63,73.82,182.04,0.233,1.54,Brittle,13.58
mp-729006,Li8 La8 Mo16 O64,96,-692.8108,-7.2168,136.43,43.18,117.19,0.3568,3.16,Ductile,1.16
mp-729170,Li2 Mn8 P6 O24,40,-299.5598,-7.489,138.85,68.42,176.3,0.2884,2.03,Ductile,0.81
mp-731452,Li6 Ti8 Ni1 P8 O40,63,-480.1399,-7.6213,165.22,81.37,209.69,0.2885,2.03,Ductile,1.86
mp-752427,Li4 Ni4 B4 O12,24,-149.4426,-6.2268,113.48,58.78,150.38,0.2791,1.93,Ductile,0.91
mp-752430,Li16 Mn4 Si8 O28,56,-377.2732,-6.737,119.59,68.41,172.37,0.2598,1.75,Brittle,0.83
mp-752488,Li12 Fe4 O4 F12,32,-166.5651,-5.2052,86.87,38.56,100.78,0.3067,2.25,Ductile,1.06
mp-752498,Li2 V1 O1 F5,9,-48.8672,-5.4297,68.65,27.77,73.42,0.3218,2.47,Ductile,1.0
mp-752501,Li4 Si4 Bi4 O16,28,-183.0812,-6.5386,115.19,56.27,145.18,0.2899,2.05,Ductile,0.89
mp-752502,Li14 Cr6 Si4 O24,48,-318.7658,-6.641,179.5,97.87,248.46,0.2693,1.83,Ductile,1.61
mp-752518,Li16 Fe4 O8 F8,36,-185.8296,-5.1619,64.27,36.41,91.88,0.2617,1.76,Ductile,1.1
mp-752566,Li6 Fe2 B10 O20,38,-275.0034,-7.2369,145.9,71.37,184.09,0.2897,2.04,Ductile,3.7
mp-752582,Li8 V2 O8 F2,20,-118.6882,-5.9344,90.06,37.31,98.34,0.318,2.41,Ductile,0.56
mp-752589,Li4 Mn4 P4 O16,28,-199.1169,-7.1113,137.66,58.3,153.28,0.3144,2.36,Ductile,0.79
mp-752617,Li1 Fe1 Si2 O6,10,-71.8435,-7.1843,118.49,58.94,151.66,0.2867,2.01,Ductile,0.57
mp-752621,Li6 Fe2 B8 O18,34,-241.4998,-7.1029,147.16,80.73,204.74,0.2681,1.82,Ductile,2.25
mp-752628,Li8 Mn4 F16,28,-153.2675,-5.4738,61.34,26.21,68.83,0.313,2.34,Ductile,0.64
mp-752657,Li8 Fe4 P8 O28,48,-324.4734,-6.7599,132.46,76.3,192.03,0.2584,1.74,Brittle,1.17
mp-752659,Li8 Fe4 P8 O28,48,-324.1322,-6.7528,130.91,77.68,194.56,0.2523,1.69,Brittle,1.21
mp-752696,Li6 Fe2 P2 C2 O14,26,-173.3381,-6.6668,126.9,68.53,174.22,0.2712,1.85,Ductile,0.87
mp-752722,Li16 Mn4 Si8 O28,56,-376.8713,-6.7298,122.25,56.88,147.72,0.2986,2.15,Ductile,0.65
mp-752762,Li8 Mn4 F16,28,-152.876,-5.4599,70.05,29.47,77.54,0.3155,2.38,Ductile,1.73
mp-752766,Li6 Cr3 Si3 O12,24,-164.2342,-6.8431,108.52,55.53,142.32,0.2814,1.95,Ductile,0.96
mp-752769,Li4 Mn6 F16,26,-152.9826,-5.8839,62.13,22.73,60.78,0.3369,2.73,Ductile,0.61
mp-752770,Li8 Fe4 P8 O28,48,-324.3716,-6.7577,126.31,71.09,179.58,0.263,1.78,Ductile,0.78
mp-752774,Li2 Ni2 P2 O8,14,-87.1064,-6.2219,135.17,73.63,186.95,0.2695,1.84,Ductile,1.13
mp-752799,Li4 Fe2 Si2 O8,16,-105.4696,-6.5919,128.48,65.92,168.88,0.2809,1.95,Ductile,1.46
mp-752820,Li4 V2 P4 O14,24,-167.4051,-6.9752,115.41,66.25,166.82,0.2591,1.74,Brittle,0.51
mp-752828,Li8 Si8 Ni4 O24,44,-289.5027,-6.5796,120.77,66.77,169.13,0.2666,1.81,Ductile,0.96
mp-752829,Li2 Mn2 F6,10,-57.5147,-5.7515,73.61,22.85,62.12,0.3593,3.22,Ductile,0.67
mp-752834,Li2 Cr2 C4 O12,20,-146.7632,-7.3382,102.24,57.26,144.75,0.264,1.79,Ductile,0.89
mp-752841,Li4 Mn6 F16,26,-152.8902,-5.8804,51.23,18.96,50.62,0.3353,2.7,Ductile,0.46
mp-752846,Li4 Mn4 P4 O16,28,-199.2078,-7.1146,107.59,56.06,143.3,0.278,1.92,Ductile,1.09
mp-752847,Li8 Fe6 O4 F12,30,-162.3756,-5.4125,86.02,32.33,86.2,0.333,2.66,Ductile,1.35
mp-752853,Li8 Fe4 Si4 O16,32,-211.2625,-6.602,125.67,55.08,144.19,0.3088,2.28,Ductile,1.13
mp-752873,Li32 Fe4 O16 F8,60,-299.6942,-4.9949,61.07,34.82,87.77,0.2604,1.75,Ductile,0.77
mp-752892,Li4 Fe4 Si4 O14,26,-178.0747,-6.849,85.28,40.01,103.79,0.2972,2.13,Ductile,0.45
mp-752899,Li4 Mn4 P12 O36,56,-401.2451,-7.1651,110.03,63.73,160.24,0.2573,1.73,Brittle,0.99
mp-752922,Li8 Hf1 O6,15,-88.339,-5.8893,129.68,74.49,187.55,0.259,1.74,Brittle,1.71
mp-752938,Li2 Mn2 F6,10,-57.5156,-5.7516,60.86,23.09,61.49,0.3316,2.64,Ductile,0.43
mp-752968,Li4 Ni4 P4 O16,28,-173.6978,-6.2035,115.23,63.6,161.15,0.2669,1.81,Ductile,1.07
mp-752971,Li8 V2 O8 F2,20,-118.2598,-5.913,100.62,38.75,103.02,0.3294,2.6,Ductile,1.6
mp-753011,Li2 Mn2 P2 O8,14,-100.0499,-7.1464,110.12,47.61,124.85,0.311,2.31,Ductile,0.41
mp-753025,Li4 Mn4 F12,20,-114.3297,-5.7165,59.86,21.17,56.81,0.3418,2.83,Ductile,0.41
mp-753032,Li2 Mn4 F10,16,-95.7015,-5.9813,79.86,28.17,75.62,0.3422,2.83,Ductile,0.45
mp-753094,Li6 Ni2 O2 F6,16,-76.1271,-4.7579,86.18,40.2,104.37,0.2982,2.14,Ductile,0.58
mp-753118,Li12 Fe6 Si6 O24,48,-315.4289,-6.5714,123.87,62.7,160.94,0.2835,1.98,Ductile,0.71
mp-753142,Li8 Co4 Si8 O24,44,-300.925,-6.8392,116.42,65.19,164.82,0.264,1.79,Ductile,0.48
mp-753149,Li4 Mn4 P12 O36,56,-399.5347,-7.1345,141.03,85.47,213.33,0.2479,1.65,Brittle,1.16
mp-753190,Li4 P4 W2 O16,26,-181.6801,-6.9877,137.97,72.76,185.64,0.2757,1.9,Ductile,1.36
mp-753207,Li2 Mn2 P2 O8,14,-99.4987,-7.107,109.62,56.45,144.54,0.2802,1.94,Ductile,0.89
mp-753212,Li1 V1 F6,8,-41.3129,-5.1641,77.57,24.72,67.03,0.356,3.14,Ductile,0.59
mp-753220,Li8 Co4 Si8 O24,44,-298.9948,-6.7953,122.39,70.17,176.73,0.2593,1.74,Brittle,2.01
mp-753262,Li8 Co4 Si12 O32,56,-393.3414,-7.024,129.9,75.0,188.68,0.2579,1.73,Brittle,1.28
mp-753270,Li4 V6 P8 O28,46,-334.4917,-7.2716,140.85,77.27,195.96,0.2681,1.82,Ductile,1.36
mp-753317,Li1 Ni3 O1 F5,10,-44.356,-4.4356,106.36,36.1,97.3,0.3475,2.95,Ductile,0.91
mp-753327,Li4 Si4 Bi4 O16,28,-183.3939,-6.5498,126.33,59.82,154.99,0.2955,2.11,Ductile,0.63
mp-753329,Li6 Ni6 O2 F14,28,-127.9597,-4.57,78.44,29.78,79.3,0.3315,2.63,Ductile,0.61
mp-753381,Li4 Mn4 P4 O16,28,-199.4761,-7.1241,138.52,63.89,166.12,0.3001,2.17,Ductile,0.51
mp-753382,Li2 Mn2 P2 O8,14,-99.5952,-7.1139,110.29,49.95,130.2,0.3032,2.21,Ductile,0.73
mp-753396,Li8 Ni4 P8 O28,48,-307.8642,-6.4138,140.39,79.75,201.17,0.2612,1.76,Ductile,2.15
mp-753407,Li4 Fe4 P4 O16,28,-189.1912,-6.7568,135.58,74.0,187.82,0.2691,1.83,Ductile,0.77
mp-753436,Li4 Cr4 Si4 O16,28,-203.9732,-7.2848,177.56,94.63,241.06,0.2737,1.88,Ductile,0.53
mp-7535,Li10 Al2 O8,20,-110.5949,-5.5297,115.8,72.53,180.02,0.2409,1.6,Brittle,1.12
mp-753500,Li16 V4 P8 O32,60,-399.313,-6.6552,119.95,64.75,164.63,0.2713,1.85,Ductile,0.76
mp-753527,Li4 Mn2 Si4 O12,22,-157.1782,-7.1445,120.5,66.84,169.23,0.2659,1.8,Ductile,0.65
mp-753528,Li6 Fe1 Ni1 P2 C2 O14,26,-169.57,-6.5219,123.61,65.29,166.55,0.2754,1.89,Ductile,1.32
mp-753537,Li2 Mn2 P2 O8,14,-99.5581,-7.1113,136.65,71.97,183.68,0.276,1.9,Ductile,0.67
mp-753540,Li8 Fe4 Si12 O32,56,-398.9412,-7.1239,129.88,77.91,194.78,0.25,1.67,Brittle,1.59
mp-753547,Li8 Ni4 P8 O28,48,-308.3497,-6.424,134.56,82.72,205.96,0.2449,1.63,Brittle,1.48
mp-753567,Li2 V2 F12,16,-82.9907,-5.1869,72.97,29.17,77.22,0.3236,2.5,Ductile,0.71
mp-753571,Li1 V1 F6,8,-41.6269,-5.2034,111.15,37.59,101.34,0.348,2.96,Ductile,0.95
mp-753573,Li2 V2 F12,16,-83.0386,-5.1899,103.47,37.61,100.64,0.3379,2.75,Ductile,0.45
mp-753599,Li2 V2 F12,16,-82.8475,-5.178,93.87,34.92,93.2,0.3345,2.69,Ductile,0.75
mp-753604,Li2 V2 F12,16,-83.1294,-5.1956,115.96,41.37,110.91,0.3406,2.8,Ductile,1.01
mp-753613,Li4 Mn4 P4 O16,28,-199.646,-7.1302,88.97,47.04,119.97,0.2753,1.89,Ductile,0.44
mp-753624,Li2 Mn2 P2 O8,14,-99.4768,-7.1055,111.42,58.92,150.26,0.2752,1.89,Ductile,0.92
mp-753628,Li2 V2 F12,16,-83.1202,-5.195,86.58,34.67,91.75,0.3234,2.5,Ductile,0.9
mp-753634,Li8 Fe4 Si8 O24,44,-306.0737,-6.9562,128.98,68.88,175.42,0.2733,1.87,Ductile,1.0
mp-753649,Li2 Zr2 P2 C2 O14,22,-170.6175,-7.7553,132.99,60.72,158.09,0.3019,2.19,Ductile,3.56
mp-753684,Li2 Fe2 Si4 O12,20,-143.4952,-7.1748,103.83,59.38,149.61,0.2598,1.75,Brittle,1.05
mp-753694,Li1 V1 F6,8,-41.3923,-5.174,93.66,28.42,77.42,0.3622,3.3,Ductile,1.3
mp-753715,Li8 Si4 Ni2 O14,28,-175.643,-6.273,118.01,58.04,149.61,0.2887,2.03,Ductile,0.94
mp-753724,Li3 Ni5 O1 F11,20,-89.3439,-4.4672,99.51,35.98,96.33,0.3387,2.77,Ductile,0.84
mp-753767,Li4 Mn4 B4 O12,24,-175.3174,-7.3049,92.84,47.69,122.16,0.2807,1.95,Ductile,0.5
mp-753769,Sr3 Li3 La5 O12,23,-161.7123,-7.031,100.28,44.74,116.85,0.3058,2.24,Ductile,1.04
mp-753810,Li4 Si2 Ni2 O8,16,-97.4192,-6.0887,108.88,55.73,142.83,0.2814,1.95,Ductile,1.03
mp-753824,Li8 Cr2 F12,22,-114.4159,-5.2007,51.66,23.32,60.82,0.3038,2.22,Ductile,0.62
mp-753838,Li4 Si4 Ni4 O14,26,-163.668,-6.2949,125.93,64.81,165.96,0.2804,1.94,Ductile,0.74
mp-753862,Li4 Fe2 F10,16,-80.9769,-5.0611,75.44,30.13,79.78,0.3237,2.5,Ductile,0.86
mp-753874,Li4 Si4 Ni2 O12,22,-143.8011,-6.5364,144.16,83.63,210.24,0.2569,1.72,Brittle,1.87
mp-753902,Li2 Fe2 B2 O6,12,-82.9535,-6.9128,102.35,51.91,133.21,0.2831,1.97,Ductile,0.6
mp-753932,Li12 Fe2 Si4 O16,34,-212.3075,-6.2443,117.13,66.42,167.58,0.2616,1.76,Ductile,0.89
mp-753951,Li4 Fe2 Si4 O12,22,-152.4111,-6.9278,127.29,67.68,172.47,0.2742,1.88,Ductile,0.53
mp-754006,Li8 Al2 Cr6 O16,32,-218.0038,-6.8126,160.46,82.92,212.2,0.2796,1.94,Ductile,0.76
mp-754032,Li8 Ni4 P8 O28,48,-308.3471,-6.4239,127.33,75.71,189.55,0.2519,1.68,Brittle,1.04
mp-754075,Li2 Hf2 P2 C2 O14,22,-175.0007,-7.9546,140.82,67.59,174.8,0.2931,2.08,Ductile,2.32
mp-754104,Li4 Mn2 Si6 O16,28,-203.8558,-7.2806,135.22,78.53,197.37,0.2567,1.72,Brittle,4.2
mp-754122,Li2 Ni2 P2 O8,14,-87.0641,-6.2189,131.96,64.98,167.46,0.2885,2.03,Ductile,0.94
mp-754162,Li4 Gd4 O8,16,-149.1915,-9.3245,110.67,52.12,135.15,0.2965,2.12,Ductile,0.51
mp-754188,Li6 Cr2 F12,20,-106.3262,-5.3163,79.85,35.74,93.31,0.3052,2.23,Ductile,0.56
mp-754204,Li2 Gd2 O4,8,-74.4036,-9.3005,101.85,55.02,139.87,0.2711,1.85,Ductile,0.44
mp-754221,Li2 Fe4 F10,16,-85.6286,-5.3518,75.26,18.1,50.26,0.3887,4.16,Ductile,0.65
mp-754237,Li2 Tm2 O4,8,-56.5843,-7.073,142.08,73.37,187.79,0.2797,1.94,Ductile,0.58
mp-754247,Li8 Cr6 Ga2 O16,32,-210.8235,-6.5882,156.8,74.55,193.05,0.2948,2.1,Ductile,1.13
mp-754284,Li4 Al4 Ni4 O12,24,-143.2473,-5.9686,126.73,64.39,165.2,0.2827,1.97,Ductile,1.35
mp-754292,Li12 Cr4 B4 As4 O28,52,-338.0281,-6.5005,114.1,55.55,143.39,0.2906,2.05,Ductile,1.18
mp-754357,Li2 Fe2 P2 O8,14,-94.8713,-6.7765,123.25,54.25,141.92,0.3081,2.27,Ductile,0.74
mp-754446,Li4 Mn2 F8,14,-76.4979,-5.4641,62.91,21.26,57.32,0.3481,2.96,Ductile,0.56
mp-754457,Li4 Fe2 F8,14,-71.3665,-5.0976,64.91,23.65,63.27,0.3376,2.74,Ductile,0.69
mp-754537,Li1 Lu1 O2,4,-28.2712,-7.0678,136.44,80.12,201.0,0.2545,1.7,Brittle,0.37
mp-754562,Li4 Mn3 Fe1 B4 O12,24,-173.0631,-7.211,90.77,48.04,122.51,0.275,1.89,Ductile,0.75
mp-754569,Li2 Fe2 F8,12,-61.5587,-5.1299,71.63,31.14,81.59,0.3101,2.3,Ductile,1.64
mp-754579,Li4 Fe2 F8,14,-71.8731,-5.1338,72.41,26.05,69.79,0.3394,2.78,Ductile,0.69
mp-754581,Li4 Fe4 F12,20,-104.3984,-5.2199,79.25,23.61,64.43,0.3645,3.36,Ductile,0.73
mp-754605,Li2 Lu2 O4,8,-56.9913,-7.1239,158.27,81.39,208.45,0.2805,1.94,Ductile,0.48
mp-754634,Li6 W1 O6,13,-75.2255,-5.7866,144.82,61.86,162.46,0.313,2.34,Ductile,0.73
mp-754635,Li4 Mn2 Fe2 P4 O16,28,-195.8224,-6.9937,140.59,73.07,186.84,0.2785,1.92,Ductile,0.86
mp-754662,Li2 Fe2 F8,12,-60.7928,-5.0661,76.36,33.08,86.71,0.3107,2.31,Ductile,0.65
mp-754676,Li2 Mn2 F6,10,-57.6539,-5.7654,75.22,26.88,72.05,0.3404,2.8,Ductile,0.48
mp-754680,Li4 Mn3 Fe1 B4 O12,24,-173.0568,-7.2107,93.31,48.0,122.91,0.2805,1.94,Ductile,0.58
mp-754707,Li4 Fe4 F12,20,-104.7816,-5.2391,61.96,20.86,56.26,0.3487,2.97,Ductile,0.86
mp-754770,Li4 Mn4 F12,20,-114.5926,-5.7296,59.38,21.58,57.74,0.3379,2.75,Ductile,1.08
mp-754816,Li4 Fe4 F12,20,-104.946,-5.2473,76.81,24.46,66.33,0.3561,3.14,Ductile,1.08
mp-754838,Li4 Cr2 C4 O12,22,-156.4485,-7.1113,98.71,59.09,147.78,0.2505,1.67,Brittle,1.44
mp-754863,Li4 Mn2 Fe2 B4 O12,24,-170.8147,-7.1173,101.06,53.01,135.35,0.2768,1.91,Ductile,0.85
mp-754902,Li2 Sb2 C2 S2 O14,22,-140.053,-6.366,92.02,51.07,129.3,0.2658,1.8,Ductile,2.3
mp-754949,Li8 Mn4 Si8 O24,44,-315.3949,-7.1681,120.95,67.46,170.66,0.2648,1.79,Ductile,0.65
mp-754968,Li12 Fe4 P4 C4 O28,52,-346.5117,-6.6637,120.05,61.6,157.81,0.2809,1.95,Ductile,1.28
mp-754994,Li4 Fe4 F12,20,-104.8686,-5.2434,69.91,23.55,63.52,0.3486,2.97,Ductile,1.04
mp-755006,Li8 Fe4 P8 O28,48,-323.8079,-6.746,117.45,60.1,154.03,0.2814,1.95,Ductile,1.15
mp-755013,Li5 Ta1 O5,11,-71.8176,-6.5289,143.1,75.61,192.87,0.2754,1.89,Ductile,0.74
mp-755028,Li6 Cr6 Si2 O16,30,-211.6096,-7.0537,162.16,80.55,207.32,0.2869,2.01,Ductile,0.56
mp-755068,Li6 Mn2 P2 C2 O14,26,-177.493,-6.8267,104.84,57.44,145.71,0.2684,1.83,Ductile,2.1
mp-755087,Li3 Fe1 F6,10,-49.7641,-4.9764,82.93,38.33,99.63,0.2998,2.16,Ductile,0.54
mp-755103,Li4 Fe4 F12,20,-104.5532,-5.2277,74.29,21.67,59.25,0.3671,3.43,Ductile,1.37
mp-755129,Li4 Mn2 Fe2 B4 O12,24,-170.7184,-7.1133,99.15,51.82,132.4,0.2774,1.91,Ductile,0.62
mp-755136,Li2 Fe2 F6,10,-52.2245,-5.2225,72.84,22.2,60.47,0.3616,3.28,Ductile,0.82
mp-755188,Li2 Fe4 F10,16,-85.3484,-5.3343,89.77,29.56,79.9,0.3517,3.04,Ductile,0.74
mp-755204,Li4 Mn1 Fe3 B4 O12,24,-168.3535,-7.0147,103.99,51.3,132.16,0.2882,2.03,Ductile,0.68
mp-755225,Li8 Zr1 O6,15,-86.1351,-5.7423,119.11,69.03,173.55,0.2572,1.73,Brittle,0.95
mp-755256,Li1 Bi1 B2 O5,9,-62.2898,-6.9211,120.52,57.27,148.32,0.2949,2.1,Ductile,2.06
mp-755271,Li6 Ni6 B6 O18,36,-225.3441,-6.2596,110.4,52.22,135.32,0.2957,2.11,Ductile,0.79
mp-755283,Li12 Fe4 P4 C4 O28,52,-345.5719,-6.6456,117.39,63.16,160.66,0.2719,1.86,Ductile,1.04
mp-755289,Li3 Y3 Zr1 O8,15,-118.4391,-7.8959,125.99,60.23,155.86,0.2938,2.09,Ductile,0.44
mp-755299,Li2 Fe2 F8,12,-61.06,-5.0883,67.58,30.06,78.54,0.3063,2.25,Ductile,0.9
mp-755319,Li4 Mn2 Fe2 B4 O12,24,-170.6807,-7.1117,102.08,49.73,128.34,0.2904,2.05,Ductile,0.67
mp-755346,Li10 B2 O8,20,-113.6322,-5.6816,104.39,74.59,180.73,0.2115,1.4,Brittle,0.57
mp-755352,Li4 Hf2 O6,12,-91.1076,-7.5923,180.86,83.27,216.57,0.3004,2.17,Ductile,0.66
mp-755356,Li2 Fe1 F4,7,-35.6624,-5.0946,66.0,16.95,46.84,0.3817,3.89,Ductile,0.62
mp-755434,Li4 Mn2 F8,14,-76.8488,-5.4892,60.42,24.18,64.01,0.3234,2.5,Ductile,0.38
mp-755485,Li4 Mn4 P4 O16,28,-199.6474,-7.1303,85.37,45.5,115.9,0.2737,1.88,Ductile,0.99
mp-755500,Li8 Al2 Cr6 O16,32,-218.0351,-6.8136,159.03,82.96,212.01,0.2778,1.92,Ductile,0.5
mp-755522,Li8 Cr6 Ga2 O16,32,-210.8234,-6.5882,158.72,74.32,192.85,0.2975,2.14,Ductile,0.58
mp-755524,Li4 Al2 Fe2 O8,16,-101.4005,-6.3375,113.2,57.17,146.8,0.2839,1.98,Ductile,0.54
mp-755554,Li2 Fe2 F8,12,-61.4448,-5.1204,74.2,44.19,110.61,0.2515,1.68,Brittle,0.63
mp-755559,Li2 Nb2 O6,10,-77.8186,-7.7819,143.2,52.34,139.97,0.3371,2.74,Ductile,1.45
mp-755575,Li4 Fe4 F12,20,-104.1682,-5.2084,73.44,24.33,65.73,0.3508,3.02,Ductile,1.06
mp-755582,Li4 Mn2 F8,14,-76.2744,-5.4482,61.71,23.21,61.87,0.3329,2.66,Ductile,0.51
mp-755626,Li4 Mn3 Fe1 B4 O12,24,-173.0625,-7.2109,100.91,49.41,127.43,0.2895,2.04,Ductile,0.63
mp-755632,Li4 Fe4 F16,24,-123.0376,-5.1266,76.04,45.13,113.02,0.2523,1.68,Brittle,0.66
mp-755639,Li4 Mn1 Fe3 B4 O12,24,-168.4062,-7.0169,109.09,55.39,142.11,0.2829,1.97,Ductile,1.5
mp-755665,Na6 Li6 Fe4 P4 C4 O28,52,-341.5482,-6.5682,113.05,59.87,152.65,0.2749,1.89,Ductile,1.49
mp-755675,Li4 Al1 Cr3 O8,16,-109.0068,-6.8129,153.87,82.28,209.5,0.2731,1.87,Ductile,0.5
mp-755693,Li3 Fe3 F12,18,-91.5185,-5.0844,76.47,32.13,84.56,0.3157,2.38,Ductile,0.75
mp-755710,Li4 Mn2 Fe2 B4 O12,24,-170.7534,-7.1147,97.59,52.71,133.99,0.2712,1.85,Ductile,1.06
mp-755718,Li2 Fe1 F4,7,-35.5648,-5.0807,31.14,14.09,36.72,0.3034,2.21,Ductile,0.52
mp-755741,Li4 Fe2 F8,14,-71.9216,-5.1373,66.6,22.32,60.24,0.3493,2.98,Ductile,0.58
mp-755747,Li4 Fe2 F8,14,-71.5739,-5.1124,76.12,24.4,66.14,0.3552,3.12,Ductile,0.58
mp-755754,Na4 Li8 Mn4 P4 C4 O28,52,-352.9281,-6.7871,111.1,58.54,149.39,0.2759,1.9,Ductile,0.71
mp-755784,Li4 Mn4 P4 O16,28,-199.3124,-7.1183,118.8,64.16,163.11,0.2712,1.85,Ductile,1.63
mp-755800,Li4 Mn2 Fe2 B4 O12,24,-170.7234,-7.1135,103.98,52.12,133.97,0.2853,2.0,Ductile,0.68
mp-755803,Li4 Al2 Fe2 O8,16,-101.3387,-6.3337,113.84,56.51,145.46,0.287,2.01,Ductile,0.47
mp-755808,Li4 Mn2 P4 O14,24,-166.2847,-6.9285,132.34,68.95,176.25,0.278,1.92,Ductile,1.95
mp-755859,Li4 Mn1 Fe3 B4 O12,24,-168.36,-7.015,103.69,51.23,131.96,0.2879,2.02,Ductile,1.42
mp-755876,Li4 Lu2 P2 C2 O14,24,-173.1091,-7.2129,131.49,65.08,167.6,0.2876,2.02,Ductile,1.53
mp-755894,Li8 O4,12,-56.0665,-4.6722,98.19,66.56,162.89,0.2235,1.48,Brittle,0.95
mp-755967,Li4 Mn3 Fe1 B4 O12,24,-173.0869,-7.212,97.32,51.52,131.37,0.275,1.89,Ductile,1.53
mp-755968,Na5 Li1 Fe2 P2 C2 O14,26,-169.0782,-6.503,111.72,58.72,149.9,0.2764,1.9,Ductile,0.8
mp-755990,Li4 Mn2 Fe2 B4 O12,24,-170.7283,-7.1137,102.8,51.27,131.88,0.2862,2.01,Ductile,0.76
mp-756100,Li2 Fe2 F8,12,-60.8565,-5.0714,75.54,28.93,76.96,0.3302,2.61,Ductile,0.85
mp-756109,Li4 Fe4 F12,20,-104.8064,-5.2403,74.3,27.08,72.43,0.3375,2.74,Ductile,0.61
mp-756125,Li4 Mn2 Fe2 B4 O12,24,-170.8159,-7.1173,103.29,53.26,136.35,0.28,1.94,Ductile,0.49
mp-756130,Li4 Mn4 F12,20,-114.6496,-5.7325,62.76,21.1,56.92,0.3489,2.97,Ductile,0.56
mp-756200,Li8 Si4 Ni4 O16,32,-195.1895,-6.0997,116.23,62.64,159.3,0.2716,1.86,Ductile,0.71
mp-756248,Na4 Li8 Fe4 P4 C4 O28,52,-343.5048,-6.6059,112.72,60.61,154.18,0.272,1.86,Ductile,0.81
mp-756249,Li8 Si8 Ni4 O24,44,-288.3982,-6.5545,127.15,68.29,173.77,0.2722,1.86,Ductile,1.53
mp-756266,Li8 Cr6 Ga2 O16,32,-210.8226,-6.5882,155.31,73.89,191.34,0.2947,2.1,Ductile,0.92
mp-756268,Li4 Fe2 Ni2 P4 O16,28,-183.2211,-6.5436,146.27,78.02,198.73,0.2736,1.87,Ductile,0.75
mp-756294,Li4 Ti4 O10,18,-138.0781,-7.671,107.92,43.46,114.95,0.3225,2.48,Ductile,0.94
mp-756299,Li8 Hf2 O8,18,-119.0178,-6.6121,107.02,50.38,130.65,0.2965,2.12,Ductile,0.87
mp-756327,Li6 Mn2 P2 C2 O14,26,-177.3235,-6.8201,106.3,58.87,149.08,0.2663,1.81,Ductile,1.53
mp-756344,Li8 Zr2 O8,18,-114.9957,-6.3886,98.25,48.42,124.75,0.2884,2.03,Ductile,0.67
mp-756362,Li4 Cr4 O8,16,-109.9832,-6.8739,206.1,85.92,226.31,0.317,2.4,Ductile,0.84
mp-756406,Li4 Zr4 O10,18,-142.6746,-7.9264,165.38,68.46,180.49,0.3181,2.42,Ductile,0.87
mp-756411,Li24 Ni4 O16,44,-208.484,-4.7383,71.22,44.02,109.5,0.2438,1.62,Brittle,1.03
mp-756421,Li4 Fe4 B4 O12,24,-164.6745,-6.8614,108.9,54.26,139.61,0.2863,2.01,Ductile,1.5
mp-756493,Li4 Cr4 Sn2 O12,22,-146.6606,-6.6664,127.22,61.14,158.08,0.2929,2.08,Ductile,0.91
